modelo,enc,imp,norm,sel,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,status
MLP,ordinal,mediana,minmax,selectfrommodel,5,0.4941858926436657,0.0036784524221685237,0.36254958434480034,0.0024563912368891646,0.08542789078234476,0.0008704050169029418,0.8705232072143705,0.0018942967381044694,ok
MLP,ordinal,interpolacao,minmax,selectfrommodel,5,0.4941858926436657,0.0036784524221685237,0.36254958434480034,0.0024563912368891646,0.08542789078234476,0.0008704050169029418,0.8705232072143705,0.0018942967381044694,ok
DecisionTree,onehot,mediana,,selectfrommodel,1,0.5203122390565487,0.0,0.40041198969368397,0.0,0.0979735373786776,0.0,0.8093643226347969,0.0,ok
DecisionTree,onehot,interpolacao,,selectfrommodel,1,0.5203122390565487,0.0,0.40041198969368397,0.0,0.0979735373786776,0.0,0.8093643226347969,0.0,ok
SVR,onehot,mediana,robust,selectkbest,1,0.6057699701113142,0.0,0.4222027200366291,0.0,0.09385699152037671,0.0,0.8013204419818954,0.0,ok
SVR,ordinal,interpolacao,robust,selectfrommodel,1,0.6082085392100518,0.0,0.4384790292044978,0.0,0.10097452572218857,0.0,0.8003622628135204,0.0,ok
SVR,onehot,mediana,robust,,1,0.6115929745959092,0.0,0.4274235113826454,0.0,0.09421410250000584,0.0,0.7978067476668388,0.0,ok
SVR,ordinal,interpolacao,minmax,selectfrommodel,1,0.6131207089304003,0.0,0.44421169900947133,0.0,0.10339992747566955,0.0,0.7971959587178812,0.0,ok
SVR,onehot,mediana,minmax,selectkbest,1,0.622907739017335,0.0,0.4326582500815408,0.0,0.09647723026484034,0.0,0.7900237686841276,0.0,ok
SVR,onehot,mediana,minmax,,1,0.6268805037652727,0.0,0.4368033548505794,0.0,0.09615878697381763,0.0,0.7875666438156783,0.0,ok
SVR,ordinal,interpolacao,quantile,selectfrommodel,1,0.6329520319691557,0.0,0.45055714444516715,0.0,0.10498964724019566,0.0,0.7836432072080742,0.0,ok
SVR,onehot,mediana,quantile,selectkbest,1,0.6402642691595387,0.0,0.4429212671614799,0.0,0.09836940640336551,0.0,0.7779874829411713,0.0,ok
SVR,onehot,mediana,quantile,,1,0.6470693210568971,0.0,0.4480964147760213,0.0,0.0983282794593223,0.0,0.7734148590626557,0.0,ok
SVR,onehot,interpolacao,minmax,selectfrommodel,1,0.652104879455831,0.0,0.45658752075559644,0.0,0.10381323763251929,0.0,0.7706851950499777,0.0,ok
SVR,onehot,mediana,minmax,selectfrommodel,1,0.652104879455831,0.0,0.45658752075559644,0.0,0.10381323763251929,0.0,0.7706851950499777,0.0,ok
SVR,onehot,interpolacao,robust,selectfrommodel,1,0.6549638131803943,0.0,0.45948521346939974,0.0,0.10472349721854202,0.0,0.7686490374968552,0.0,ok
SVR,onehot,mediana,robust,selectfrommodel,1,0.6549638131803943,0.0,0.45948521346939974,0.0,0.10472349721854202,0.0,0.7686490374968552,0.0,ok
SVR,onehot,interpolacao,quantile,selectfrommodel,1,0.662247219347663,0.0,0.46085294669402244,0.0,0.10473348812243821,0.0,0.7633439706875491,0.0,ok
SVR,onehot,mediana,quantile,selectfrommodel,1,0.662247219347663,0.0,0.46085294669402244,0.0,0.10473348812243821,0.0,0.7633439706875491,0.0,ok
